Country,Urbanname,Year,Quarter,Month,  Ridership  ,ReferencePeriod,,,,,,,,,
Chile,Valparaiso,2005,,,"1,718,222",Yearly,,,,,,,,,
Chile,Valparaiso,2006,,,"7,947,049",Yearly,,,,,,,,,
Chile,Valparaiso,2007,,,"11,350,000",Yearly,,,,,,,,,
Chile,Valparaiso,2008,,,"12,590,000",Yearly,,,,,,,,,
Chile,Valparaiso,2009,,,"13,710,000",Yearly,,,,,,,,,
Chile,Valparaiso,2010,,,"14,030,000",Yearly,,,,,,,,,
Chile,Valparaiso,2011,,,"17,220,000",Yearly,,,,,,,,,
Chile,Valparaiso,2012,,,"18,900,000",Yearly,,,,,,,,,
Chile,Valparaiso,2013,,,"20,210,000",Yearly,,,,,,,,,
Chile,Valparaiso,2014,,,"20,570,000",Yearly,,,,,,,,,
Chile,Valparaiso,2015,,,"19,310,000",Yearly,,,,,,,,,
Chile,Valparaiso,2005,,November,"201,165",Monthly,,,,,,,,,
Chile,Valparaiso,2005,,December,"620,245",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,January,"471,747",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,February,"507,327",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,March,"537,702",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,April,"532,705",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,May,"604,230",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,June,"579,380",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,July,"666,702",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,August,"759,376",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,September,"760,539",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,October,"841,603",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,November,"842,469",Monthly,,,,,,,,,
Chile,Valparaiso,2006,,December,"843,269",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,January,"970,134",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,February,"785,144",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,March,"949,672",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,April,"961,719",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,May,"982,656",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,June,"922,944",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,July,"896,796",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,August,"968,165",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,September,"885,651",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,October,"1,037,143",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,November,"999,246",Monthly,,,,,,,,,
Chile,Valparaiso,2007,,December,"972,792",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,January,"959,775",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,February,"847,939",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,March,"952,175",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,April,"1,009,261",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,May,"998,776",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,June,"923,427",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,July,"1,082,209",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,August,"1,082,937",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,September,"1,130,926",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,October,"1,249,774",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,November,"1,174,333",Monthly,,,,,,,,,
Chile,Valparaiso,2008,,December,"1,175,187",Monthly,,,,,,,,,
Chile,Valparaiso,2009,,January,"1,123,831",Monthly,,,,,,,,,
Chile,Valparaiso,2009,,February,"967,170",Monthly,,,,,,,,,
Chile,Valparaiso,2009,,March,"1,209,242",Monthly,,,,,,,,,
Chile,Valparaiso,2009,,April,"1,211,625",Monthly,,,,,,,,,
Chile,Valparaiso,2009,,May,"1,167,256",Monthly,,,,,,,,,
