Region,Country,City,mean_PM10,Year,Number and location,Temporal coverage,Reference,,,,,,,,,,,,,,,,,,
,,,ug/m3,, of stations,(%),,,,,,,,,,,,,,,,,,,
Afr,Algeria,Alger,42,2006,2 stations in capital city,NA,"Samasafia. Rapport Annuel 2006. Ministère de l'Aménagement du Territoire, de l'Environnement et du Tourisme. Alger, 2006.",,,,,,,,,,,,,,,,,,
AmrLMI,Argentina,Buenos Aires,38,2010,"2 stations in Residential/commercial zone with fixed sources, and 1 station in mixed zone, medium to low traffic, with fixed sources.","6-10 months/year, according to the station",Buenos Aires Ciudad. Calidad Ambiental - Laboratorio. 2011.,,,,,,,,,,,,,,,,,,
WprHI,Australia,Adelaide,14,2009,"1 station, mixed are of light industrial, heavy traffic",NA,"Environmental Protection Agency. Air monitoring for South Australia 2009: Compliance with the national Environment Protection (Ambient Air Quality) Measure, June 2009.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Brisbane,18,2009,"1 station, light industrial/residential",NA,"Queensland Government, Department of Environment and Resource Management. Queensland 2009 air monitoring report. 2010.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Bunbury,14,2009,NA,99,"Government of Western Australia, Department of Environment and Conservation. 2009 Western Australia Air Monitoring Report, 2010.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Canberra,10,2009,"1 station, suburb",91,"Environmental Protection Authority, ACT air quality report 2009, June 2010.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Darwin,14,2009,"1 station, residential/light industrial",NA,Northern Territory Government. Northern Territory Air Monitoring Report 2009.,,,,,,,,,,,,,,,,,,
WprHI,Australia,Gladstone,15,2009,"1 station, industry/residential",NA,"Queensland Government, Department of Environment and Resource Management. Queensland 2009 air monitoring report. 2010.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Hobard : New Town,12,2009,"1 station, urban background",87,"Tasmania, Air monitoring report 2009, Compliance with the National Environment Protection Measure (Ambient air quality), 2010.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Launceston (Ti Tree bend),13,2009,"1 station, urban background",84,"Tasmania, Air monitoring report 2009, Compliance with the National Environment Protection Measure (Ambient air quality), 2010.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Lower Hunter,14,2009,2 stations,NA,"NSW Government, New South Wales Annual Compliance Report 2009.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Perth Region,13,2009,2 urban background and 1 low density stations,99,"Government of Western Australia, Department of Environment and Conservation. 2009 Western Australia Air Monitoring Report, 2010.",,,,,,,,,,,,,,,,,,
WprHI,Australia,Port Phillip,13,2009,1 residential/light industrial and 1 residential/industrial station,99,"Environmental Protection Agency Victoria, Air monitoring report 2009, Compliance with the National Environment Protection Measure (Ambient air quality), 2010.",,,,,,,,,,,,,,,,,,
