City,Opening date,Begin construction date,Plan year,Notes,Links,
Tehran ,2000.2,1977.1,1970,Construction halted due to Iran-Iraq war. 1995 final construction resumes and rolling stock ordered,http://atlas.tehran.ir/Default.aspx?tabid=344,
Izmir,2000.8,1995.3,1992,,http://www.egelisesi.k12.tr/dosyalar/editor/file/q13.pdf,
Istanbul,2000.9,1992.9,1987,Long delays due to archeological sites along construction path,https://en.wikipedia.org/wiki/Istanbul_Metro,
Brasilia,2001.3,1992.1,1991,Originally planned to open in 1994,http://www.metro.df.gov.br/memoria-2/,
Rennes,2002.3,1997.1,1989,Back and forth between building a subway or building a tram,https://fr.wikipedia.org/wiki/M%C3%A9tro_de_Rennes,
Bursa,2002.8,1998.10,1997,Contract for project signed jan 1997. ,https://www.burulas.com.tr/bursaray-genel-bilgiler.aspx,
Copenhagen,2002.11,1996.11,1995,,https://en.wikipedia.org/wiki/Copenhagen_Metro,
Porto,2002.12,1999.3,1996,,http://www.metrodoporto.pt/pages/321,
Delhi,2002.12,1998.10,1995,,https://en.wikipedia.org/wiki/Delhi_Metro,
Dalian,2003.5,2000.9,1999,,https://zh.wikipedia.org/wiki/%E5%A4%A7%E8%BF%9E%E5%9C%B0%E9%93%81#.E5.8E.86.E5.8F.B2,
Naha,2003.8,1996.11,1996,,https://ja.wikipedia.org/wiki/%E6%B2%96%E7%B8%84%E9%83%BD%E5%B8%82%E3%83%A2%E3%83%8E%E3%83%AC%E3%83%BC%E3%83%AB%E7%B7%9A,Okinawa City Monorail Line
Tianjin,2004.3,2001.1,1984,Just Line 9 considered metro,https://zh.wikipedia.org/wiki/%E5%A4%A9%E6%B4%A5%E5%9C%B0%E9%93%819%E5%8F%B7%E7%BA%BF,
Gwangju,2004.4,1996.8,1994,,https://ko.wikipedia.org/wiki/%EA%B4%91%EC%A3%BC_%EB%8F%84%EC%8B%9C%EC%B2%A0%EB%8F%84_1%ED%98%B8%EC%84%A0,
Wuhan,2004.9,2000.12,1999,,https://en.wikipedia.org/wiki/Wuhan_Metro,
Shenzhen,2004.12,1998.12,1992,,http://www.railway-technology.com/projects/shenzhen-metro-rapid-transit-system-china/,
San Juan,2005.4,1996.7,1992,,https://en.wikipedia.org/wiki/Rail_transport_in_Puerto_Rico#Tren_Urbano,
Kazan ,2005.8,1997.8,1989,plan delayed due to break up of soviet union in 1991,https://en.wikipedia.org/wiki/Kazan_Metro,
Nanjing,2005.8,2000.12,1994,,https://en.wikipedia.org/wiki/Nanjing_Metro,https://zh.wikipedia.org/wiki/%E5%8D%97%E4%BA%AC%E5%9C%B0%E9%93%811%E5%8F%B7%E7%BA%BF
Valparaiso,2005.11,2002.5,1999,,http://www.skyscrapercity.com/showthread.php?t=261799,
Turin,2006.2,2000.12,1999,,https://en.wikipedia.org/wiki/Turin_Metro,
Daejon,2006.3,1996.10,1996,,https://en.wikipedia.org/wiki/Daejeon_Metro,
Valencia,2006.11,1997.11,1994,,http://www.metrovalencia.gob.ve/ficha_tecnica/ficha_tecnica_022017.pdf,
Maracaibo,2006.11,2004.3,1998,,https://venezuelavanza.es.tl/METRO--g-MARACAIBO-g-.htm,
Kaohsiung,2008.3,2001.10,1994,,https://en.wikipedia.org/wiki/Kaohsiung_Mass_Rapid_Transit,
Palma,2008.7,2005.8,2004,,https://es.wikipedia.org/wiki/Metro_de_Palma_de_Mallorca,
Lausanne,2008.1,2004.2,2000,,https://fr.wikipedia.org/wiki/Ligne_M2_du_m%C3%A9tro_de_Lausanne,
